Investment ID;Name;Project Id
1212;New axis Ejea-Aragon region 400 kV;270
1214;Ejea de los Caballeros subestation ;270
1215;Aragon region subestation;270
1264;Investments to be created;271
1206;HVDC Pamplona area  -Cantegrit  ;276
1207;Upgrade Cantegrit-Saucats;276
1208;Upgrade Cantegrit-Marsillon ;276
1210;New substation Pamplona area;276
1008;Study Lonny-Achene-Gramme;280
1378;TuNur DC;283
1430;TuNur AC;283
1619;LEG1;284
1383;GridLink;285
1385;Greenlink;286
1637;New investment;286
1431;Southern Aegean Interconnector;293
1432;Southern Aegean Interconnector;293
1433;Southern Aegean Interconnector;293
1434;Southern Aegean Interconnector;293
1435;Southern Aegean Interconnector;293
1436;Southern Aegean Interconnector;293
1356;Maali;294
445;BRABO II: Zandvliet - Lillo - Liefkenshoek;297
604;BRABO III: Liefkenshoek - Mercator;297
605;BRABO II: Lillo 380;297
1458;SACOI3;299
1628;NeuConnect Interconnector;309
1472;St. Peter - Tauern (AT internal);312
1473;Isar/Altheim/Ottenhofen - St. Peter;313
1617;Upgrade of 220 kV line Divaca-Bericevo to 400 kV;316
1615;Upgrade of internal 220 kV line Podlog-Bericevo to 400 kV;317
1614;Upgrade of 220 kV line Podlog-Cirkovce to 400 kV;318
1558;Double 400 kV OHL Cirkovce(SI)-Heviz(HU)/Zerjavinec(HR);320
1475;Herbertingen - Tiengen;321
1476;Wullenstetten - Border Area (DE-AT);322
1477;Herbertingen - Neuravensburg;322
1478;Dekani (SI) - Zaule (IT) interconnection;323
1482;Redipuglia (IT) - Vrtojba (SI) Interconnection;324
1483;Upgrade Obersielach (AT) - Podlog (SI);325
1631;Lienz - Italy (AT - IT);325
1636;Lienz - Obersielach;325
1620;Substation Aach;328
1629;Substation Bofferdange;328
1630;AC Overhead Line Aach-Bofferdange;328
1518;Stevin-Izegem/Avelgem: new corridor;329
1498;New CZ-SK 400 kV interconnector;330
1499;New 400 kV substation Ladce;330
1496;PST Foretaille;333
1504;Power Link Island;335
1505;Interconnection DKw to Power Link Island;335
1506;Interconnection NL Maasvlakte to Power Link Island;335
1507;Interconnection NL Eemshaven to Power Link Island;335
1508;Interconnection DE (area of Brunsbüttel) to Power Link Island;335
1509;Interconnection DE (area of Oldenburg) to Power Link Island;335
1511;Interconnection DE (area of Krümmel) to Power Link Island;335
1556;Prati (IT) – Steinach (AT);336
1510;Cloppenburg East - Merzen;337
1512;Conneforde - Cloppenburg;337
1521;New HVDC line between Villanova and Fano existing 400 kV substations;338
1557;Italian HVDC tri-terminal link;339
1519;Avelgem-Center: new corridor;340
1536;Portile de Fier (RO) - Djerdap (RS) 2nd;341
1537;New SS 400/110 kV Belgrade West;341
1538;New OHL 400 kV WPP Cibuk - SS Belgrade West;341
1520;Sofia West (BG) - Nis 2 (RS) 2nd;342
1522;Upgrade  of exsisting OHL 220 kV to 400 kV   SS Nis 2 - SS Kruševac 1;342
1523;Upgrading SS 220/110 kV Krusevac 1 to 400 kV;342
1524;Upgrading of exsisting OHL 220 kV to 400 kV  SS Krusevac 1 - SS Kraljevo 3;342
1525;Uprading exsisting OHL 220 kV to 400 kV  SS Kraljevo 3 - Vardiste;342
1532;New OHL 400 kV Banja Luka - Lika;343
1533;New OHL 400 kV Lika  – Melina;343
1534;New OHL 400 kV Lika  – Konjsko;343
1535;New Substation 400/110 kV Lika;343
1541;Zwolle-Hengelo-Doetinchem-Dodewaard;344
1542;Northern East-West connection NL;345
1543;ZuidWest380 West;346
1544;ZuidWest3808 Oost;346
1545;Maasvlakte – Noord Brabant connection;347
1546;NoordWest380;348
1622;400kV OHL SS Bitola - SS Elbasan;350
1623;400 kV SS Ohrid;350
1624;400 kV SS Kumanovo;350
1547;Eastern HVDC Link;351
1555;Lienz (AT) - Veneto region (IT);375
1559;New investment;376
1561;BE-NL interconnector: upgrade VanEyck-Maasbracht;377
1584;Transformer Gatica;378
1593;Uprate Gatica-Guenes;379
1595;Uprate Gatica-Amorebieta-Ichaso;379
1597;Uprate Gatica-Azpeitia;379
