Investment ID;Name;Project Id;ExpectedCommissioningYear
1512;Conneforde - Cloppenburg;337;2023
1521;New HVDC line between Villanova and Fano existing 400 kV substations;338;2027
1557;Italian HVDC tri-terminal link;339;2027
1519;Avelgem-Center: new corridor;340;2028
1536;Portile de Fier (RO) - Djerdap (RS) 2nd;341;2030
1537;New SS 400/110 kV Belgrade West;341;2030
1538;New OHL 400 kV WPP Cibuk - SS Belgrade West;341;2030
1520;Sofia West (BG) - Nis 2 (RS) 2nd;342;2034
1522;Upgrade  of exsisting OHL 220 kV to 400 kV   SS Nis 2 - SS Kruševac 1;342;2034
1523;Upgrading SS 220/110 kV Krusevac 1 to 400 kV;342;2034
1524;Upgrading of exsisting OHL 220 kV to 400 kV  SS Krusevac 1 - SS Kraljevo 3;342;2034
1525;Uprading exsisting OHL 220 kV to 400 kV  SS Kraljevo 3 - Vardiste;342;2033
1532;New OHL 400 kV Banja Luka - Lika;343;2030
1533;New OHL 400 kV Lika  – Melina;343;2030
1534;New OHL 400 kV Lika  – Konjsko;343;2030
1535;New Substation 400/110 kV Lika;343;2029
1541;Zwolle-Hengelo-Doetinchem-Dodewaard;344;2035
1542;Northern East-West connection NL;345;2040
1543;ZuidWest380 West;346;2021
1544;ZuidWest3808 Oost;346;2025
1545;Maasvlakte – Noord Brabant connection;347;2040
1546;NoordWest380;348;2021
1622;400kV OHL SS Bitola - SS Elbasan;350;2020
1623;400 kV SS Ohrid;350;2020
1624;400 kV SS Kumanovo;350;2030
1547;Eastern HVDC Link;351;2024
1555;Lienz (AT) - Veneto region (IT);375;2024
1559;New investment;376;2030
1561;BE-NL interconnector: upgrade VanEyck-Maasbracht;377;2030
1584;Transformer Gatica;378;2025
1593;Uprate Gatica-Guenes;379;2025
1595;Uprate Gatica-Amorebieta-Ichaso;379;0
1597;Uprate Gatica-Azpeitia;379;2025
